# mc delta_mc R14 log_alpha_dyn log_f_disk theta s1z s2z sigma_sys md vd mw vw lnL lnp lnps weights
1.186602720403763689e+00 2.681686703671495864e-01 1.644682826327112579e+01 -1.585508335628418308e-01 -1.338465892981876681e+00 5.332240851753385691e+00 4.063919832632610640e-02 4.205498405628622927e-02 7.380522403612634008e+00 1.900876202108588500e-02 1.389863084069518084e-01 2.642194429724168889e-02 1.389863084069518084e-01 -7.523803710937500000e-01 -3.220006765193899945e+00 1.420943642874459911e+01 5.422885345480872002e-05
1.185996242188912975e+00 3.625617959415813885e-01 1.409286531725231839e+01 -5.019157991922140738e-01 -1.222832034625107589e+00 5.577516831580205725e+00 2.887145676697693356e-02 1.366814230969780851e-02 4.739497498607083692e+00 2.092527551328826271e-02 1.431331023101940492e-01 2.791927070539292760e-02 1.431331023101940492e-01 -2.952972412109375000e+00 -2.998255255785136963e+00 1.420943642874459911e+01 7.496022801506387544e-06
1.185719794551387984e+00 4.845693148700733199e-01 1.294321627982603928e+01 -8.690614773177625096e-01 -1.246547885022062152e+00 5.635997418188939179e+00 2.767653290122305473e-02 2.692891081898005079e-02 3.761122754801688117e+00 1.739254422283011484e-02 1.342722597623006164e-01 2.559971202278540567e-02 1.342722597623006164e-01 -2.495971679687500000e+00 -2.812783685448156934e+00 1.420943642874459911e+01 1.425125381003961508e-05
1.186180196763392924e+00 3.207225780282835226e-01 1.539491830033139053e+01 -3.734897636291386602e-01 -1.316598724424634437e+00 5.482232715735451123e+00 3.570134173318704335e-02 3.313310777222940734e-02 8.649719976774983721e+00 2.046201897297281885e-02 1.348599130023183656e-01 2.573231934146189004e-02 1.348599130023183656e-01 -2.317718505859375000e+00 -3.092112694617865642e+00 1.420943642874459911e+01 1.288120219152632300e-05
1.186219728011890018e+00 3.820798712295394584e-01 1.387270967275251010e+01 -5.742595261994786204e-01 -1.234438461650778640e+00 5.558643269418088728e+00 3.666750070220161500e-02 4.151888596111052987e-02 2.376141004288653935e+00 1.993676539779683926e-02 1.411945506381477866e-01 2.691122266148552808e-02 1.411945506381477866e-01 -2.454986572265625000e-01 -2.988711849517234231e+00 1.420943642874459911e+01 1.134531240793042444e-04
1.185683679159327930e+00 4.332506853033057381e-01 1.272469598135991298e+01 -6.294250327066992501e-01 -1.203963994349819044e+00 5.533254140722477565e+00 1.216129637134643823e-02 1.391015217845435401e-02 1.122422121186224198e+00 2.266996788134122143e-02 1.557036156960968087e-01 2.556442788336315761e-02 1.557036156960968087e-01 -3.943710327148437500e+00 -2.943738990241640874e+00 1.420943642874459911e+01 2.939239684700740318e-06
1.187312140646052061e+00 2.921027234663019501e-01 1.620869968983005549e+01 -2.653014068904921974e-01 -1.315997114534948276e+00 5.401718134568919361e+00 1.843749815428769642e-03 2.942300057422102353e-03 1.077093246860228959e+01 1.946378048054847598e-02 1.338709516034900515e-01 2.764928737816338411e-02 1.338709516034900515e-01 -3.606918334960937500e+00 -3.161277751422513216e+00 1.420943642874459911e+01 3.311509634236514873e-06
1.186147084380090533e+00 2.737624311484229134e-01 1.542199449390156119e+01 -1.764213454208733989e-01 -1.281296618919562924e+00 5.784446886819060829e+00 1.782808887327736250e-02 2.702937209969513699e-02 2.680927633007025968e+00 2.199146788233554209e-02 1.502152305442637781e-01 2.662454043102574150e-02 1.502152305442637781e-01 -2.347900390625000000e+00 -2.955240649911850870e+00 1.420943642874459911e+01 1.433149000011908866e-05
1.185679829385754891e+00 2.520348097377269614e-01 1.641527462104073010e+01 -4.059244170768461224e-02 -1.327139090113215625e+00 5.766220594678267197e+00 2.103408366376054855e-02 7.054952422626360742e-03 8.547750452633531282e+00 2.087840975499827972e-02 1.443420300975418735e-01 2.662650547674557527e-02 1.443420300975418735e-01 -1.135360717773437500e+00 -2.980734282272612834e+00 1.420943642874459911e+01 4.696981938022826950e-05
1.186126049860267262e+00 2.576451847782224025e-01 1.661966814920724644e+01 -8.119992832420275253e-02 -1.340560982602649442e+00 5.243381430470991589e+00 1.049853069277562577e-02 4.109288046360264762e-02 1.049998074975026618e+01 1.952374287789792814e-02 1.403136740095739521e-01 2.657460511926117847e-02 1.403136740095739521e-01 -9.654846191406250000e-01 -3.279834567578286730e+00 1.420943642874459911e+01 4.127599383653531901e-05
